title,cik_str,ticker
Apple Inc.,0000320193,AAPL
MICROSOFT CORP,0000789019,MSFT
Alphabet Inc.,0001652044,GOOGL
"Tesla, Inc.",0001318605,TSLA
BERKSHIRE HATHAWAY INC,0001067983,BRK-B
TAIWAN SEMICONDUCTOR MANUFACTURING CO LTD,0001046179,TSM
JOHNSON & JOHNSON,0000200406,JNJ
UNITEDHEALTH GROUP INC,0000731766,UNH
NVIDIA CORP,0001045810,NVDA
EXXON MOBIL CORP,0000034088,XOM
JPMORGAN CHASE & CO,0000019617,JPM
SPDR S&P 500 ETF TRUST,0000884394,SPY
Mastercard Inc,0001141391,MA
PROCTER & GAMBLE Co,0000080424,PG
CHEVRON CORP,0000093410,CVX
Walmart Inc.,0000104169,WMT
Alibaba Group Holding Ltd,0001577552,BABA
LVMH MOET HENNESSY LOUIS VUITTON,0000824046,LVMUY
"HOME DEPOT, INC.",0000354950,HD
PFIZER INC,0000078003,PFE
ELI LILLY & Co,0000059478,LLY
BANK OF AMERICA CORP /DE/,0000070858,BAC
COCA COLA CO,0000021344,KO
NOVO NORDISK A S,0000353278,NVO
AbbVie Inc.,0001551152,ABBV
Broadcom Inc.,0001730168,AVGO
ASML HOLDING NV,0000937966,ASML
PEPSICO INC,0000077476,PEP
TOYOTA MOTOR CORP/,0001094517,TM
"Merck & Co., Inc.",0000310158,MRK
THERMO FISHER SCIENTIFIC INC.,0000097745,TMO
VERIZON COMMUNICATIONS INC,0000732712,VZ
COSTCO WHOLESALE CORP /NEW,0000909832,COST
ADOBE INC.,0000796343,ADBE
ABBOTT LABORATORIES,0000001800,ABT
ASTRAZENECA PLC,0000901832,AZN
NOVARTIS AG,0001114448,NVS
COMCAST CORP,0001166691,CMCSA
Walt Disney Co,0001744489,DIS
"NIKE, Inc.",0000320187,NKE
Accenture plc,0001467373,ACN
ORACLE CORP,0001341439,ORCL
DANAHER CORP /DE/,0000313616,DHR
"CISCO SYSTEMS, INC.",0000858877,CSCO
"Salesforce, Inc.",0001108524,CRM
MCDONALDS CORP,0000063908,MCD
WELLS FARGO & COMPANY/MN,0000072971,WFC
BHP Group Ltd,0000811809,BHP
BRISTOL MYERS SQUIBB CO,0000014272,BMY
"T-Mobile US, Inc.",0001283699,TMUS
LINDE PLC,0001707925,LIN
INTEL CORP,0000050863,INTC
PETROCHINA CO LTD,0001108329,PTR
Philip Morris International Inc.,0001413329,PM
CONOCOPHILLIPS,0001163165,COP
TotalEnergies SE,0000879764,TTE
